codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
902068,,43,-22.854457,-43.251718,2023-07-25 22:56:25,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],35600.1, 
902064,,43,-22.854263,-43.251961,2023-07-25 20:50:24,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],0.0, 
902070,,46,-23.001004,-43.36792,2023-07-25 23:00:24,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],36233.4, 
901083,,53,-22.964493,-43.392019,2023-07-25 22:29:15,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],49411.4,353
901087,,53,-22.973314,-43.366045,2023-07-25 23:00:17,49.5,,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],47497.5,266
902085,,46,-22.854734,-43.252001,2023-07-25 22:58:53,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],34050.9, 
E902012,,40,-22.964907,-43.392099,2023-07-25 23:00:14,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],9751.3, 
E902001,,41,-22.854365,-43.252213,2023-07-25 22:40:02,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],20869.4, 
E902006,,40,-22.964936,-43.392116,2023-07-25 23:00:16,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],19292.0, 
E902011,,40,-22.965762,-43.391669,2023-07-25 22:43:50,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],8589.6, 
E902014,,41,-22.965207,-43.392077,2023-07-25 21:13:01,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],16099.0, 
902002,,41,-22.854393,-43.252026,2023-07-25 21:26:50,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],19822.7, 
901095,,51,-22.964466,-43.391754,2023-07-25 23:00:12,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],35035.6, 
902069,,46,-22.968384,-43.390678,2023-07-25 23:00:17,42.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],32539.4,6
902094,,35,-22.877731,-43.336972,2023-07-25 23:00:07,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],9009.7, 
903068,,17,-22.919055,-43.608003,2023-07-25 22:25:41,0.1,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],20708.4,219
901097,,52,-23.000927,-43.365955,2023-07-25 23:00:13,0.0,,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],35652.9, 
902081,,31,-22.876401,-43.329994,2023-07-25 22:04:52,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],11487.0, 
902075,,31,-22.876376,-43.329905,2023-07-25 23:00:14,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],14095.4, 
